,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offset in data table (for modders),0x00 (0),0x04 (4),0x08 (8),0xC (12),0x10 (16),0x14 (20),0x18 (24),0x1C (28),0x20 (32),0x24 (36),0x25 (37),0x26 (38),0x27 (39),0x29 (41),0x2C (44),0x2D (45),0x2E (46),0x2F (47),0x30 (48),0x31 (49),0x32 (50),0x33 (51),0x35 (53),0x37 (55),0x38 (56),0x3C (60),0x40 (64),0x44 (68),0x48 (72),0x4C (76),0x50 (80),0x54 (84),0x5C (92),0x60 (96),0x64 (100),0x65 (101),0x66 (102),0x67 (103),0x68 (104),0x6C (108),0x70 (112),0x74 (116),0x78 (120),0x7C (124),0x80 (128),0x84 (132),0x88 (136),0x8C (140),0x90 (144),0x94 (148),0x98 (152),0x9C (156),0xA0 (160),0xA4 (164),0xA8 (168),0xBC (188),0xC0 (192),0xC4 (196),0xC8 (200),0xCC (204),0xD0 (208),0xD4 (212),0xD8 (216),0xDC (220),0xE0 (224),0xE8 (232),0xEC (236),0xF0 (240),0xF4 (244),0x110 (272),0x130 (304),0x134 (308),0x138 (312),0x13C (316),0x140 (320),0x144 (324),0x148 (328),0x14C (332),0x150 (336),0x154 (340),0x158 (344),0x15C (348),0x160 (352),0x164 (356),0x168 (360),0x16C (364),,,,Params right of here are only useful to modders,0xAC (172),0xB0 (176),0xB4 (180),0xB8 (184),0xE4 (228),0xF8 (248),0xFC (252),0x100 (256),0x104 (260),0x108 (264),0x10C (268),0x114 (276),0x118 (280),0x11C (284),0x120 (288),0x124 (292),0x128 (296),0x12C (300),Total Size
Preta,345,3,57,49,8,6,6,6,5,1,0,1,0,1,0,0,0,1,1,0,1,1,98,5,70,70,0,0,29,15,1,55,0,0,10,10,0,100,1 (Life Stone),8,,46 (Spirit Drain Gem),4,,533 (Preta's Essence),3,9,Skill_BestialBite (203),,,,,,,,Skill_FocusedAssault (656),100,125,100,100,125,125,50,100,100,100,100,100,100,100,1,0,1,0,0,-3,3,0,0,0,-1,-1,3,345,70,69,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Kudlak,346,60,600,305,31,37,49,42,44,1,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,5509,233,12,55,0,0,10,10,0,100,1 (Life Stone),8,,28 (Dark Gem),10,,596 (Kudlak's Essence),3,,Skill_Mudoon (62),Skill_SpiritDrain (80),Skill_SlumberVortex (82),,,,,,Skill_FigmentofDarkness (629),100,125,100,100,100,100,Drain (1000),100,100,100,100,100,100,100,0,-4,0,0,0,-2,4,0,3,0,0,0,0,346,64,89,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,347,1,48,55,4,5,4,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,348,1,48,55,4,5,4,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,349,1,48,55,4,5,4,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Trumpeter,350,73,716,382,32,38,68,51,52,0,0,1,0,1,0,0,0,1,2,0,1,1,98,5,100,100,0,0,10033,342,17,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_TrumpetsofJudgment (547),100,100,100,100,100,Null (0),Null (0),100,100,100,100,Null (0),Null (0),100,-6,3,3,3,3,0,0,5,4,0,0,0,0,350,81,200,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Mother Harlot,351,64,655,262,42,45,42,41,42,0,0,1,0,1,0,0,0,1,2,0,1,1,98,5,100,100,0,0,8085,264,14,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_SevenHeadedBeast (611),Repel (999),100,125,Drain (1000),125,50,50,100,100,100,Null (0),125,100,100,0,1,0,4,-6,0,0,6,3,3,0,0,0,351,115,103,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Black Rider,352,52,477,211,35,37,35,34,35,0,0,1,0,1,0,0,0,1,2,0,1,1,98,5,100,100,0,0,4955,177,12,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_FourHorsemen (538),100,100,Repel (999),100,125,50,50,100,100,Null (0),100,100,100,100,0,0,7,0,-5,0,2,5,0,1,0,0,0,352,255,120,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Red Rider,353,47,414,191,32,34,32,31,32,0,0,1,0,1,0,0,0,1,2,0,1,1,98,5,100,100,0,0,3858,147,11,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_FourHorsemen (538),100,100,125,Repel (999),Drain (1000),50,50,100,100,100,100,100,100,100,6,0,-5,4,4,0,0,0,0,2,0,0,0,353,182,80,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
White Rider,354,43,369,175,30,31,30,29,29,0,0,1,0,1,0,0,0,1,2,0,1,1,98,5,100,100,0,0,3081,126,10,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_FourHorsemen (538),100,Repel (999),100,125,100,50,50,100,100,100,100,100,100,100,0,5,0,-5,0,7,0,0,0,3,0,0,0,354,353,352,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Alice,355,40,290,205,19,22,40,30,31,0,0,1,0,1,0,0,0,1,2,0,1,1,98,5,100,100,0,0,2559,111,10,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_GiveMeYourSoul (678),100,100,100,100,100,125,Drain (1000),100,100,100,100,100,100,100,0,0,0,0,0,-5,5,0,3,0,-2,-2,0,355,305,304,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Hell Biker,356,36,269,173,22,23,19,34,32,0,0,1,0,1,0,0,0,1,2,0,1,1,98,5,100,100,0,0,1946,94,8,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_SpeedStar (694),100,Null (0),125,100,Null (0),50,50,100,100,100,100,100,100,100,3,4,-5,0,4,0,0,0,2,0,0,0,0,356,226,54,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Daisoujou,357,30,206,163,15,17,31,24,25,0,0,1,0,1,0,0,0,1,2,0,1,1,98,5,100,100,0,0,1216,71,7,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_Willpower (620),100,125,100,100,100,Null (0),Null (0),100,100,50,50,50,100,100,0,-5,0,0,0,4,4,0,3,0,1,1,0,357,318,283,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Pale Rider,358,57,543,231,38,40,38,37,38,0,0,1,0,1,0,0,0,1,2,0,1,1,98,5,100,100,0,0,6182,212,13,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_FourHorsemen (538),100,125,Null (0),100,100,50,50,100,Null (0),100,50,50,50,Null (0),4,-5,3,0,0,0,0,0,7,2,0,0,0,358,174,267,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Matador,359,24,173,129,16,17,14,25,22,0,0,1,0,1,0,0,0,1,2,0,1,1,98,5,100,100,0,0,713,51,5,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_CripplingBlow (659),100,100,100,125,Null (0),50,50,100,100,100,100,50,50,50,4,0,0,-5,3,0,0,0,0,1,0,0,0,359,34,140,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,360,1,48,55,4,5,4,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,361,1,48,55,4,5,4,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,362,1,48,55,4,5,4,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,363,1,48,55,4,5,4,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Tao,364,78,810,413,34,40,72,54,55,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,10784,390,15,0,0,0,10,10,0,100,,,,,,,,,,Skill_LightofOrder (326),,,,,,,,Skill_SaintsPrayer (618),100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Tao,365,60,500,305,26,32,56,42,44,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,6973,233,12,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_SaintsPrayer (618),100,100,100,100,100,Null (0),125,100,50,50,Null (0),100,100,100,-3,0,0,0,0,5,-3,4,0,3,3,3,0,365,53,304,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Yoko,366,82,892,439,35,43,75,56,59,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,11390,429,16,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_AlmsofUprising (577),100,100,100,100,100,125,Null (0),100,100,100,100,50,Null (0),50,-3,3,0,0,0,-3,5,4,0,3,3,3,0,366,30,240,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,367,1,42,69,3,4,6,5,5,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,368,1,42,69,3,4,6,5,5,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,369,1,57,47,5,6,4,3,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,370,1,57,47,5,6,4,3,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Kushi Mitama,371,30,350,150,19,19,17,29,27,0,1,0,0,0,0,0,1,1,1,0,1,1,98,5,100,100,0,0,2432,284,6,17,0,0,10,10,0,100,82 (Gospel),100,,82 (Gospel),30,,,,,Skill_Debilitate (136),,,,,,,,Skill_MitamaSoul (700),Null (0),Random (900),Random (900),Random (900),Random (900),Random (900),Random (900),50,Null (0),Null (0),Null (0),Null (0),Null (0),Null (0),0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Kushi Mitama,372,45,800,211,27,30,24,41,38,0,1,0,0,0,0,0,1,1,1,0,1,1,98,5,100,100,0,0,6916,548,9,17,0,0,10,10,0,100,82 (Gospel),100,,82 (Gospel),30,,82 (Gospel),10,,Skill_Debilitate (136),,,,,,,,Skill_MitamaSoul (700),Null (0),Random (900),Random (900),Random (900),Random (900),Random (900),Random (900),50,Null (0),Null (0),Null (0),Null (0),Null (0),Null (0),0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Kushi Mitama,373,60,1200,281,34,40,30,52,48,0,1,0,0,0,0,0,1,1,1,0,1,1,98,5,100,100,0,0,13946,932,12,17,0,0,10,10,0,100,82 (Gospel),100,,82 (Gospel),60,,82 (Gospel),10,,Skill_Debilitate (136),,,,,,,,Skill_MitamaSoul (700),Null (0),Random (900),Random (900),Random (900),Random (900),Random (900),Random (900),50,Null (0),Null (0),Null (0),Null (0),Null (0),Null (0),0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Nigi Mitama,374,30,350,150,19,19,17,29,27,0,1,0,0,0,0,0,1,1,1,0,1,1,98,5,100,100,0,0,2432,284,6,17,0,0,10,10,0,100,109 (Small Glory Crystal),100,,109 (Small Glory Crystal),100,,,,,Skill_Debilitate (136),,,,,,,,Skill_MitamaSoul (700),Null (0),Random (900),Random (900),Random (900),Random (900),Random (900),Random (900),50,Null (0),Null (0),Null (0),Null (0),Null (0),Null (0),0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Nigi Mitama,375,45,800,211,27,30,24,41,38,0,1,0,0,0,0,0,1,1,1,0,1,1,98,5,100,100,0,0,6916,548,9,17,0,0,10,10,0,100,109 (Small Glory Crystal),100,,109 (Small Glory Crystal),100,,110 (Large Glory Crystal),10,,Skill_Debilitate (136),,,,,,,,Skill_MitamaSoul (700),Null (0),Random (900),Random (900),Random (900),Random (900),Random (900),Random (900),50,Null (0),Null (0),Null (0),Null (0),Null (0),Null (0),0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Nigi Mitama,376,60,1200,281,34,40,30,52,48,0,1,0,0,0,0,0,1,1,1,0,1,1,98,5,100,100,0,0,13946,932,12,17,0,0,10,10,0,100,109 (Small Glory Crystal),100,,109 (Small Glory Crystal),100,,110 (Large Glory Crystal),30,,Skill_Debilitate (136),,,,,,,,Skill_MitamaSoul (700),Null (0),Random (900),Random (900),Random (900),Random (900),Random (900),Random (900),50,Null (0),Null (0),Null (0),Null (0),Null (0),Null (0),0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Ara Mitama,377,30,350,150,19,19,17,29,27,0,1,0,0,0,0,0,1,1,1,0,1,1,98,5,100,100,0,0,2432,284,6,17,0,0,10,10,0,100,83 (Grimoire),100,,83 (Grimoire),70,,83 (Grimoire),10,,Skill_Debilitate (136),,,,,,,,Skill_MitamaSoul (700),Null (0),Random (900),Random (900),Random (900),Random (900),Random (900),Random (900),50,Null (0),Null (0),Null (0),Null (0),Null (0),Null (0),0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Ara Mitama,378,45,800,211,27,30,24,41,38,0,1,0,0,0,0,0,1,1,1,0,1,1,98,5,100,100,0,0,6916,548,9,17,0,0,10,10,0,100,83 (Grimoire),100,,83 (Grimoire),100,,83 (Grimoire),10,,Skill_Debilitate (136),,,,,,,,Skill_MitamaSoul (700),Null (0),Random (900),Random (900),Random (900),Random (900),Random (900),Random (900),50,Null (0),Null (0),Null (0),Null (0),Null (0),Null (0),0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Ara Mitama,379,60,1200,281,34,40,30,52,48,0,1,0,0,0,0,0,1,1,1,0,1,1,98,5,100,100,0,0,13946,932,12,17,0,0,10,10,0,100,83 (Grimoire),100,,83 (Grimoire),100,,83 (Grimoire),40,,Skill_Debilitate (136),,,,,,,,Skill_MitamaSoul (700),Null (0),Random (900),Random (900),Random (900),Random (900),Random (900),Random (900),50,Null (0),Null (0),Null (0),Null (0),Null (0),Null (0),0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,380,1,48,55,4,5,4,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Hare of Inaba,381,31,226,155,19,24,22,34,23,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,1312,74,6,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_OkuninushisTeachings (571),100,125,125,125,125,Null (0),Null (0),100,100,100,100,100,100,100,-3,0,0,0,0,0,0,-2,1,3,1,1,0,381,120,331,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,382,1,53,50,6,5,3,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,383,1,48,55,4,5,4,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,384,1,43,64,4,4,3,6,5,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Kinmamon,385,68,627,352,27,46,67,43,53,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,9251,297,13,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_RestorativeMelody (597),100,Null (0),100,125,125,Null (0),Null (0),100,100,50,50,50,100,100,-3,0,0,0,0,0,0,4,-5,0,4,4,0,385,20,65,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Onyankopon,386,50,386,253,22,41,48,31,38,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,4500,164,10,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_SkywardWithdrawal (537),125,Null (0),100,Null (0),100,Null (0),100,100,100,100,100,100,100,100,-2,0,0,0,0,0,0,0,-2,4,2,2,0,386,225,11,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Amabie,387,39,280,202,15,29,38,26,34,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,2397,107,7,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_BlessingsAbound (677),100,100,Null (0),100,100,50,125,100,100,100,100,100,100,100,0,0,1,0,0,0,-3,0,-3,2,3,3,0,387,330,55,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,388,1,43,64,4,4,3,6,5,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,389,1,48,55,4,5,4,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,390,1,48,55,4,5,4,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Lilith,391,72,812,300,47,50,47,45,47,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,9884,333,14,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_QadituMandate (701),50,100,100,50,Drain (1000),125,50,100,100,100,100,100,100,100,-2,0,0,4,6,-6,0,1,0,3,-3,-3,0,391,197,295,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Agrat,392,68,627,352,30,36,63,48,49,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,9251,297,13,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_QadituArtifice (702),100,50,Null (0),125,100,100,50,100,100,100,100,100,100,100,-3,2,4,-5,0,0,0,5,-4,0,3,3,0,392,386,334,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Naamah,393,63,578,297,36,37,32,55,50,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,7802,257,12,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_QadituDeception (703),125,50,50,50,50,100,Null (0),100,100,Null (0),Null (0),100,100,100,-6,0,0,0,0,-3,3,0,7,2,0,0,0,393,51,303,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Eisheth,394,66,759,245,61,50,31,40,38,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,8662,281,13,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_QadituSavagery (704),100,Null (0),100,100,125,100,Null (0),100,100,100,100,100,100,100,6,0,0,0,-3,-3,0,0,3,0,0,0,0,394,136,296,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,395,1,53,50,6,5,3,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,395,394,393,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,396,1,48,55,4,5,4,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,396,395,394,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,397,1,53,50,6,5,3,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,397,396,395,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,398,1,53,50,6,5,3,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,398,397,396,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,399,1,42,69,3,4,6,5,5,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,399,398,397,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
